"구별","1월","2월","3월","4월","5월","6월","7월","8월","9월","10월","11월","12월"
"",1,1,8,2,0,0,0,1,3,2,0,0
"",0,0,5,5,0,0,3,1,0,0,0,0
"",1,1,0,0,0,2,0,0,3,4,1,1
"",0,1,1,18,0,1,2,3,1,1,4,16
"",6,0,0,1,1,2,1,1,3,13,0,2
"",0,0,0,0,0,0,0,1,0,0,0,0
"",2,2,4,3,3,0,0,2,2,1,1,1
"",5,12,0,4,6,5,8,8,4,7,13,15
"",0,2,0,4,0,0,0,0,0,0,0,0
"",0,5,1,6,1,2,0,3,6,0,0,2
"",1,6,2,0,1,0,7,4,3,0,0,2
"",2,0,0,0,2,0,12,1,1,0,2,0
"",0,0,0,1,0,0,0,0,0,0,0,0
"",17,5,4,19,2,7,5,11,3,3,5,4
"",4,1,1,2,0,4,1,0,1,2,1,1
"",1,4,5,10,0,3,8,0,5,1,0,8
"",6,0,1,8,2,1,1,3,1,0,0,6
"",0,3,5,1,0,0,6,4,5,0,1,1
"",0,10,2,1,3,1,2,1,1,0,1,0
"",0,2,0,0,3,0,1,0,3,2,0,0
"",0,6,0,0,1,0,2,0,0,0,0,0
"",2,3,0,2,8,3,0,14,0,3,3,0
"",4,7,0,4,0,0,1,1,7,1,1,5
"",4,6,2,0,0,0,2,4,1,0,2,0
"",2,0,6,1,4,5,0,2,2,2,2,0
"",1,0,2,6,1,1,1,0,0,0,0,2
"",11,34,14,12,10,13,7,13,15,12,7,11
"",2,0,1,9,10,4,3,0,9,3,3,7
"",1,0,0,1,2,1,1,5,0,0,1,0
"",4,2,9,3,0,5,2,6,2,5,5,2
중랑구,38,44,39,58,41,34,39,30,57,49,40,33
"",138,155,147,133,179,119,163,138,147,119,114,119
"",40,42,28,21,35,30,40,44,26,22,24,34
"",56,55,52,49,27,34,58,43,59,32,48,54
"",56,54,53,37,40,48,40,52,72,34,36,57
"",52,40,51,39,37,19,51,28,40,44,31,32
