"Column1","월","자치구","진동_x(g)","진동_y(g)","진동_z(g)"
160,"07월",동대문구,0.03241856948641129,0.055640584457858036,1.0355774752830296
161,"07월",동작구,0.025290409831923388,0.06936949182034531,1.0107263810156033
162,"07월",마포구,0.031133796918190456,0.06780430034976352,1.0246116857417602
163,"07월",서대문구,0.03382192998774403,0.05967153547795817,1.0227688201765845
164,"07월",서초구,0.029729740938344594,0.06511709050834356,1.0199662286458473
165,"07월",성동구,0.029270856816684586,0.06411386494268957,1.020074127184031
166,"07월",성북구,0.02279137826559251,0.0635244154100949,1.0225262387303211
167,"07월",송파구,0.03038304312840077,0.060253464850457704,1.022917125013649
168,"07월",양천구,0.031108692644810285,0.05973571290531671,1.0220585754622373
169,"07월",영등포구,0.03094387614399405,0.06100624462302636,1.0310128072801692
170,"07월",용산구,0.023897216353089758,0.06491350709319563,1.0189266728306676
171,"07월",은평구,0.030537075778403592,0.05868527681181028,1.0287684445424554
172,"07월",종로구,0.03135304467231534,0.055335679405383274,1.0188883445933923
173,"07월",중구,0.030358493808909152,0.07035480728307332,1.0239202668200607
174,"07월",중랑구,0.03906039870516715,0.06779798872188685,1.0212313171556842
175,"08월",강남구,0.0368814967493411,0.06889993454271245,1.0220425950428191
176,"08월",강동구,0.028475933158966515,0.05543606210952112,1.0123520887935353
177,"08월",강북구,0.026301179002035796,0.05175882374927162,1.0245113658503846
178,"08월",강서구,0.02735045063552747,0.06455162646194161,1.0243885042973822
179,"08월",관악구,0.02952289114777809,0.06403059017089718,1.0196060360895534
180,"08월",광진구,0.024693726499444343,0.058358129136879745,1.0178440722375848
181,"08월",구로구,0.027139835108881696,0.06942225965599168,1.0232995684110495
182,"08월",금천구,0.025742986875308738,0.062019956492361285,0.999616680715298
183,"08월",노원구,0.034979096001789674,0.06616975542874244,1.016403630462133
184,"08월",도봉구,0.02974419160315153,0.07931851409282563,1.0168428589459029
185,"08월",동대문구,0.03153663551972074,0.056767414218137656,1.03656197934807
186,"08월",동작구,0.025272494596478613,0.06891500904612423,1.0114844745695089
187,"08월",마포구,0.031715002134223236,0.06788497040882252,1.0243574944860914
188,"08월",서대문구,0.034891153070161336,0.059207073226365065,1.0249643404053372
189,"08월",서초구,0.03260056372991887,0.06501362905605433,1.0202024725966925
190,"08월",성동구,0.029665970385624987,0.06424268585627212,1.0204613550542285
191,"08월",성북구,0.022913316989380494,0.06365886103839656,1.023021080635155
192,"08월",송파구,0.030203447164435484,0.0612328329781007,1.0225161839824621
193,"08월",양천구,0.030771093579109458,0.06059413359767955,1.0232136863904755
194,"08월",영등포구,0.03185513443653262,0.06060243382749186,1.0310600479409813
195,"08월",용산구,0.024016890463067146,0.06393566274985105,1.0211687394692794
196,"08월",은평구,0.030714915123637238,0.05817146585959649,1.027844035546968
197,"08월",종로구,0.031290072450827815,0.055509424879256336,1.019484299326613
198,"08월",중구,0.029770774286001812,0.0716541165775561,1.0237782918910538
199,"08월",중랑구,0.03809312172174625,0.06850231989418278,1.0232207781851832
200,"09월",강남구,0.03336650960502808,0.06793738541109995,1.024536914156806
201,"09월",강동구,0.026572371342152665,0.05596916345931536,1.0126187029070437
202,"09월",강북구,0.025125996481579482,0.05157173036313266,1.0271071598829016
203,"09월",강서구,0.02643316402508922,0.06226442915274557,1.0284715794695392
204,"09월",관악구,0.026306353827365608,0.06118624019097747,1.0229319155539993
205,"09월",광진구,0.025603734973672347,0.05702976416635451,1.022902525012844
206,"09월",구로구,0.026175399230930697,0.0666574273503517,1.030436651260643
207,"09월",금천구,0.022497063738147662,0.06057171204867106,0.989663847074277
208,"09월",노원구,0.03149187243302535,0.06507460869993303,1.0179685052457723
209,"09월",도봉구,0.028299791840712823,0.07786260063604186,1.0198629967467543
210,"09월",동대문구,0.028282744208601718,0.056719537863373366,1.0397474480466558
211,"09월",동작구,0.023274896393386924,0.06873127236144774,1.0157693908288885
212,"09월",마포구,0.029607376419422397,0.0656403898445276,1.0271561832964484
213,"09월",서대문구,0.032882275354522664,0.058484323050297646,1.0262752152126249
214,"09월",서초구,0.030591590367043554,0.06771123887413445,1.0234084478982681
215,"09월",성동구,0.027734658637102,0.06244643631497813,1.0236121625525232
216,"09월",성북구,0.02131070768706089,0.05977903443667159,1.025390596157687
217,"09월",송파구,0.028380019749441744,0.05984968919996417,1.0265986572673715
218,"09월",양천구,0.028855876580821973,0.05902977676805602,1.025973307470483
219,"09월",영등포구,0.028103510573461197,0.06099711273341273,1.035321100949374
220,"09월",용산구,0.02319113734331,0.06322097768358376,1.0250554538959313
221,"09월",은평구,0.028209850790663803,0.05896624501206551,1.0333814576641
222,"09월",종로구,0.03016373460435078,0.05328528465009421,1.0245907797011928
223,"09월",중구,0.02809503678098133,0.06769255955321382,1.0280866840211393
224,"09월",중랑구,0.03558679961746449,0.06640473912647661,1.027489577856265
225,"10월",강남구,0.032159301208309905,0.06779634293021325,1.0287586113604923
226,"10월",강동구,0.025840210073946664,0.057082616262686965,1.0126571196580345
227,"10월",강북구,0.02494210980163138,0.052521993013236484,1.0314217022829686
228,"10월",강서구,0.02665886301816587,0.058667607953237735,1.0334263410719027
229,"10월",관악구,0.025425483344783107,0.058942751246553265,1.029112869670443
230,"10월",광진구,0.027871611704063826,0.058733191352398184,1.0308129963932393
231,"10월",구로구,0.026297608238890876,0.0656961979371163,1.0368508779718004
232,"10월",금천구,0.020902666728199328,0.05977354014892255,0.9957564521293136
233,"10월",노원구,0.02964485917848382,0.0625607673298277,1.0212228049320469
234,"10월",도봉구,0.02688807274658347,0.07457214571696422,1.0255275785532816
235,"10월",동대문구,0.0273762084459157,0.05736404605536858,1.0432455533005585
236,"10월",동작구,0.022320502256863394,0.07019618246122449,1.022333238652525
237,"10월",마포구,0.029363425029819756,0.06454670988029566,1.0320996974135648
238,"10월",서대문구,0.033638046132884375,0.05735697312121065,1.029213773380281
239,"10월",서초구,0.029218971628775913,0.06813089003235531,1.028924426078663
240,"10월",성동구,0.026698326588848496,0.06028052275032382,1.0293363902767705
241,"10월",성북구,0.019649803817579307,0.05544501190102854,1.0311976542193715
242,"10월",송파구,0.026768398501262714,0.0580627807136529,1.0318578243378507
243,"10월",양천구,0.027296758819739544,0.05715149340454163,1.030739406519572
244,"10월",영등포구,0.02621148758262642,0.05801575889655391,1.040276433731033
245,"10월",용산구,0.022824681448746224,0.061619415342036,1.0286657384611877
246,"10월",은평구,0.027700278083126355,0.060090345849032396,1.0390261595533858
247,"10월",종로구,0.029577764032438097,0.05219961261673201,1.0305867866093876
248,"10월",중구,0.02536479772732374,0.06443745965996606,1.0317733727429428
249,"10월",중랑구,0.031633850093285315,0.06435062819938132,1.0335546810435892
250,"11월",강남구,0.032153135288882695,0.06783028774232384,1.0311112554961448
251,"11월",강동구,0.026255342610294503,0.05689306276119012,1.0125070192325942
252,"11월",강북구,0.025540340547879813,0.05302577137601398,1.0333445140410882
253,"11월",강서구,0.027346872264975848,0.05743505407100185,1.034943522515085
254,"11월",관악구,0.02614214915368178,0.058762581043887,1.0318155411775571
255,"11월",광진구,0.028395922976008615,0.059409213298821935,1.0342156129039595
256,"11월",구로구,0.02653638276650959,0.06520616899715133,1.0393040584123863
257,"11월",금천구,0.0218479474934077,0.05963998424347717,0.9992393576680801
258,"11월",노원구,0.030437792653592154,0.061835926208890064,1.0236159236836793
259,"11월",도봉구,0.026323931630009165,0.07260173070078248,1.027888731987505
260,"11월",동대문구,0.026852799113083813,0.05759158579271672,1.0446712647893495
261,"11월",동작구,0.022727768519468085,0.070726651843796,1.025090804295042
262,"11월",마포구,0.029891419406262196,0.06408370864631131,1.0340365740932114
263,"11월",서대문구,0.034413139381786015,0.05849199071690868,1.0309361881238632
264,"11월",서초구,0.028653060387537472,0.06812241814386495,1.0317366791383609
265,"11월",성동구,0.026073788543575036,0.05995080543082924,1.0315153871970542
266,"11월",성북구,0.019055708969240578,0.05353931953811284,1.0340346325421286
267,"11월",송파구,0.02653391773074391,0.056617917042537685,1.0338067229495205
268,"11월",양천구,0.026907114348245015,0.05644390030394656,1.0327343284437187
269,"11월",영등포구,0.026149490213270853,0.05702823320487535,1.042225044340017
270,"11월",용산구,0.022973319406270253,0.06084462006958388,1.0302605471090223
271,"11월",은평구,0.02778898033197205,0.0604421007570548,1.0411552703179177
272,"11월",종로구,0.02934122319940728,0.05131516946722408,1.0338569306123866
273,"11월",중구,0.023112297100780256,0.0627989666124157,1.0129302235538116
274,"11월",중랑구,0.030580228955355213,0.06409587778283261,1.0364733291620112
275,"12월",강남구,1.0571100238702802,2.3352312379727365,35.540182529792126
276,"12월",강동구,0.9156517133358699,1.9551097933234804,34.43082387925191
277,"12월",강북구,0.8813628507813736,1.863261374510431,35.321715545701096
278,"12월",강서구,0.9410665320190574,1.908984410893885,36.13182991945364
279,"12월",관악구,0.9391785962836077,1.9655631817896415,35.309636226484365
280,"12월",광진구,0.9951765877200336,2.055443163316394,35.40447388954553
281,"12월",구로구,0.9561121390096601,2.144052132384685,35.565487886188734
282,"12월",금천구,0.6572258104724605,1.919342619529535,34.25930162287907
283,"12월",노원구,1.0717774201756582,2.0846227839294955,35.34068883642766
284,"12월",도봉구,0.871430702945683,2.3505501581689003,35.16418416256162
285,"12월",동대문구,0.9397979352835786,1.9854081596818403,35.654433287774395
286,"12월",동작구,0.804683690918212,2.417218105087464,35.54567336061167
287,"12월",마포구,1.0396937091964191,2.164800135560491,35.76595856017169
288,"12월",서대문구,1.2507769795925796,2.072290517738142,36.40455561019835
289,"12월",서초구,0.9236093976712835,2.3154853309428183,35.324216156842546
290,"12월",성동구,0.8913597495427024,2.0314385782566298,35.27223398447508
291,"12월",성북구,0.7031637463529737,1.6608996677146868,35.388780807481844
292,"12월",송파구,0.8959296643083947,1.9050706579101644,35.353278869984635
293,"12월",양천구,0.9173907332259229,1.891489275294265,35.63359315988238
294,"12월",영등포구,0.9594089903237043,1.9064580942792733,37.054932578662694
295,"12월",용산구,0.8022340672406949,2.000467586611618,35.23137520880854
296,"12월",은평구,0.9650453606918961,2.081358362225187,35.63671159296175
297,"12월",종로구,1.0259137597714607,1.7326867349846238,35.984551966613544
298,"12월",중구,0.7301171272729909,2.0497383153073745,34.19481459444888
299,"12월",중랑구,0.9320523289482475,2.1775961444989496,35.504468095396916
