자치구,스트레스분류,해결태그,장소명,카테고리,도로명주소,경도,위도,전화번호,플레이스URL
강남구,안전,키워드:복합문화공간,라움아트센터,"문화,예술>복합문화공간",서울특별시 강남구 언주로 564 라움아트센터,127.0397224,37.5081005,,http://www.theraum.co.kr/
강남구,안전,키워드:복합문화공간,식물관PH,"문화,예술>복합문화공간",서울특별시 강남구 광평로34길 24,127.0943672,37.4826902,,http://instagram.com/sikmulgwan.seoul
강남구,안전,키워드:안정,스페이스 온,"스포츠,레크레이션교육>요가,명상",서울특별시 강남구 개포로 623 12층 1202호,127.0796608,37.4943549,,https://blog.naver.com/haesung_life
강남구,안전,키워드:느좋,솔솥 선릉 삼성 포스코센터점,음식점>한식,"서울특별시 강남구 테헤란로 440 B1층 C07 솔솥 포스코센터점 (대치동, 포스코센터)",127.0561271,37.5058388,,
강남구,안전,키워드:느좋,이나세,"음식점>일식>우동,소바",서울특별시 강남구 테헤란로 521 파르나스몰 지하 1층 F-15호,127.0605875,37.5090213,,http://instagram.com/inase.soba_more
강남구,안전,키워드:느좋,곰스603 논현본점,음식점>양식,서울특별시 강남구 논현로 613 1층,127.0328985,37.5084972,,https://blog.naver.com/gomskitchen
강남구,안전,키워드:느좋,알로하포케 학동본점,"음식점>도시락,컵밥>다이어트,샐러드",서울특별시 강남구 논현로 705 1층,127.0301206,37.5147869,,http://www.alohapokeglobal.com
강남구,안전,키워드:느좋,압구정 고기집 옹기집 본점,"한식>육류,고기요리",서울특별시 강남구 논현로152길 3 다우빌딩 1층,127.0285486,37.5208967,,https://www.instagram.com/my_ceramic_house
강남구,안전,키워드:쉼터,옐로우문,"음식점>카페,디저트",서울특별시 강남구 삼성로 767 지하1층,127.047631,37.5231161,,https://blog.naver.com/yellowmoon719
강남구,안전,키워드:쉼터,양재천수변문화쉼터,"문화,예술>문화시설",서울특별시 강남구 논현로22길 77,127.0491707,37.4827688,,
강남구,안전,키워드:쉼터,srt 고객라운지,"레져,체육시설>공원",,127.1045603,37.4854186,,
강남구,안전,키워드:쉼터,율현공원 책쉼터,"교육,학문>도서관",서울특별시 강남구 밤고개로21길 85,127.1150605,37.4746397,,
