month,자치구,지역,소음 평균(dB)
2023.4,Gangdong-gu,parks,54.366408450639774
2023.5,Gangdong-gu,parks,54.16269007838773
2023.6,Gangdong-gu,parks,54.09861825386118
2023.7,Gangdong-gu,parks,54.638279002304145
2023.8,Gangdong-gu,parks,55.41768417949119
2023.9,Gangdong-gu,parks,54.43546021976413
2023.10,Gangdong-gu,parks,54.577896622395194
2023.11,Gangdong-gu,parks,54.27735906967714
2023.12,Gangdong-gu,parks,53.550640282454225
2023.1,Gangdong-gu,residential_area,53.28323095123212
2023.2,Gangdong-gu,residential_area,53.2968442947476
2023.3,Gangdong-gu,residential_area,53.787938601115684
2023.4,Gangdong-gu,residential_area,52.720319241704
2023.5,Gangdong-gu,residential_area,52.759950848500395
2023.6,Gangdong-gu,residential_area,53.19412438870104
2023.7,Gangdong-gu,residential_area,138.99915393645983
2023.8,Gangdong-gu,residential_area,53.62366975315377
2023.9,Gangdong-gu,residential_area,52.77485292470764
2023.10,Gangdong-gu,residential_area,52.31154544035678
2023.11,Gangdong-gu,residential_area,52.85907602491014
2023.12,Gangdong-gu,residential_area,52.280609970286655
2023.1,Gangdong-gu,roads_and_parks,61.901736619849736
2023.2,Gangdong-gu,roads_and_parks,62.6445779199231
2023.3,Gangdong-gu,roads_and_parks,63.43016849512905
2023.4,Gangdong-gu,roads_and_parks,62.50396288989682
2023.5,Gangdong-gu,roads_and_parks,62.403925007300096
2023.6,Gangdong-gu,roads_and_parks,62.26213284593229
2023.7,Gangdong-gu,roads_and_parks,61.80662753224629
2023.8,Gangdong-gu,roads_and_parks,62.075863098202234
2023.9,Gangdong-gu,roads_and_parks,60.54670115975368
2023.10,Gangdong-gu,roads_and_parks,61.43802861182799
2023.11,Gangdong-gu,roads_and_parks,61.61419509705408
2023.12,Gangdong-gu,roads_and_parks,61.44045359951261
2023.1,Gangdong-gu,traditional_markets,46.14957092940767
2023.2,Gangdong-gu,traditional_markets,45.92328586713092
2023.3,Gangdong-gu,traditional_markets,45.586098224653504
2023.4,Gangdong-gu,traditional_markets,45.13784104076928
2023.5,Gangdong-gu,traditional_markets,45.38775787825071
2023.6,Gangdong-gu,traditional_markets,45.81655329888324
2023.7,Gangdong-gu,traditional_markets,45.892483338240396
2023.8,Gangdong-gu,traditional_markets,46.32131703282673
2023.9,Gangdong-gu,traditional_markets,45.31783986244077
2023.10,Gangdong-gu,traditional_markets,45.19958193553703
2023.11,Gangdong-gu,traditional_markets,45.26135197543807
2023.12,Gangdong-gu,traditional_markets,45.61533370267126
2023.1,Gangnam-gu,commercial_area,53.08409602131873
2023.2,Gangnam-gu,commercial_area,52.794542776171475
2023.3,Gangnam-gu,commercial_area,52.667156966107
