자치구,year_month,강수량점수,대기점수,불쾌지수점수,쓰레기점수,이상기온점수,환경점수
강서구,2023-10,7.153698504879827,71.96,46.26,40.55,11.940298507462686,35.572799402468505
강서구,2023-11,7.9471663750987105,69.42,69.41,42.7,8.955223880597014,39.68647805113914
강서구,2023-12,13.831316287628322,58.77,83.52,45.56,7.462686567164178,41.8288005709585
강서구,2024-01,0.7027858279081541,57.4,87.91,43.02,2.985074626865672,38.40357209095477
강서구,2024-02,2.799808056343776,61.01,78.17,43.02,2.985074626865672,37.59697653664189
강서구,2024-03,0.1473583187549355,59.1,68.04,37.81,17.91044776119403,36.6015612159898
강서구,2024-04,0.3853986798206007,54.19,45.12,37.81,23.88059701492537,32.27719913894919
강서구,2024-05,20.100864879978538,71.16,39.87,36.33,28.35820895522388,39.163814767040485
강서구,2024-06,13.502593884251928,67.11,25.21,32.61,40.298507462686565,35.74622026938769
강서구,2024-07,51.44630300648754,83.03,29.6,30.37,46.26865671641791,48.14299194458109
강서구,2024-08,9.511431604958796,74.06,25.62,30.37,88.05970149253731,45.524226619499224
강서구,2024-09,23.43342993489785,82.31,10.85,34.09,53.73134328358209,40.88295464369598
강서구,2024-10,7.550432439989269,74.23,35.88,37.81,14.925373134328357,34.07916111486353
강서구,2024-11,6.076849252439913,66.48,55.5,40.05,14.925373134328357,36.60644447735366
강서구,2024-12,0.1700288293326179,61.83,78.83,43.02,4.477611940298507,37.665528153926225
관악구,2022-01,0.0,49.52,80.73,77.2,0.0,41.489999999999995
관악구,2022-02,0.1020172975995707,57.55,78.4,77.2,1.4925373134328357,42.94891092220649
관악구,2022-03,13.309894544341628,57.85,59.54,74.57,10.44776119402985,43.143531147674295
관악구,2022-04,0.9068204231072956,57.69,43.1,74.57,16.417910447761194,38.53694617417369
관악구,2022-05,0.3400576586652359,66.73,33.58,73.82,16.417910447761194,38.17759362128528
관악구,2022-06,36.70816629575192,77.35,19.51,71.94,11.940298507462686,43.48969296064293
관악구,2022-07,48.296254453810725,70.04,6.59,70.81,53.73134328358209,49.89351954747857
관악구,2022-08,70.0,78.09,12.21,70.81,28.35820895522388,51.89364179104477
관악구,2022-09,25.34908807871201,75.91,21.32,72.69,14.925373134328357,42.03889224260807
관악구,2022-10,14.73813671073562,69.62,41.66,74.57,10.44776119402985,42.207179580953095
관악구,2022-11,12.607108716433476,53.87,52.35,75.7,7.462686567164178,40.39795905671953
관악구,2022-12,0.3853986798206007,60.38,77.52,77.2,0.0,43.09707973596412
관악구,2023-01,6.734294059192703,51.06,81.07,79.25,14.925373134328357,46.607933438704215
관악구,2023-02,0.0340057658665235,47.35,70.78,79.25,4.477611940298507,40.37832354123301
관악구,2023-03,0.3853986798206007,37.81,50.27,76.77,11.940298507462686,35.435139437456655
관악구,2023-04,6.768299825059226,50.03,44.61,76.77,17.91044776119403,39.21774951725065
관악구,2023-05,19.806148242468662,59.76,30.0,76.06,29.850746268656717,43.09537890222508
관악구,2023-06,21.25706091944034,65.8,19.02,74.29,23.88059701492537,40.84953158687314
관악구,2023-07,54.394621799207286,70.67,10.39,73.23,46.26865671641791,50.99065570312505
관악구,2023-08,37.71815643407982,75.04,9.13,73.23,58.2089552238806,50.66542233159208
관악구,2023-09,25.78098019730901,75.78,19.62,75.0,25.37313432835821,44.31082290513344
관악구,2023-10,1.0655139971510723,67.48,39.39,76.77,17.91044776119403,40.52319235166902
관악구,2023-11,13.785975266472958,68.1,62.1,77.84,11.940298507462686,46.753254754787136
관악구,2023-12,13.853986798206003,57.2,78.54,79.25,10.44776119402985,47.85834959844717
관악구,2024-01,0.8048031255077251,57.38,80.33,86.45,2.985074626865672,45.589975550474676
관악구,2024-02,7.969836885676393,60.36,70.25,86.45,2.985074626865672,45.60298230250841
관악구,2024-03,0.2153698504879827,57.6,61.36,84.51,19.402985074626866,44.61767098502297
관악구,2024-04,1.4849184428381967,51.82,37.86,84.51,22.388059701492537,39.612595628866146
관악구,2024-05,20.21421743286695,69.56,32.03,83.95,28.35820895522388,46.82248527761816
관악구,2024-06,25.03285334824549,64.5,16.98,82.57,38.80597014925373,45.57776469949984
관악구,2024-07,57.45629314481543,80.86,7.47,81.74,46.26865671641791,54.758989972246674
관악구,2024-08,14.160038691004718,72.45,0.75,81.74,98.50746268656717,53.521500275514384
