`RAINGAUGE_CODE`|`RAINGAUGE_NAME`|`GU_CODE`|`GU_NAME`|`RAINFALLHOUR`|`RAINFALLACCU`|`RAINFALLMAX`|`RECEIVE_TIME`|`LIST_TIME`
`2502`|`마천2동`|`125`|`송파구`|`0`|`345.5`|`12`|`2020-07-17 11:32:41`|`2020-07-17 11:33:14`
`2502`|`마천2동`|`125`|`송파구`|`0`|`345.5`|`12`|`2020-07-17 11:35:41`|`2020-07-17 11:36:25`
`2502`|`마천2동`|`125`|`송파구`|`0`|`345.5`|`12`|`2020-07-17 11:34:41`|`2020-07-17 11:35:20`
`2502`|`마천2동`|`125`|`송파구`|`0`|`345.5`|`12`|`2020-07-17 11:36:41`|`2020-07-17 11:37:27`
`2502`|`마천2동`|`125`|`송파구`|`0`|`345.5`|`12`|`2020-07-17 11:37:41`|`2020-07-17 11:38:04`
`2502`|`마천2동`|`125`|`송파구`|`0`|`345.5`|`12`|`2020-07-17 11:38:41`|`2020-07-17 11:39:18`
`2502`|`마천2동`|`125`|`송파구`|`0`|`345.5`|`12`|`2020-07-17 11:42:41`|`2020-07-17 11:43:06`
`2502`|`마천2동`|`125`|`송파구`|`0`|`345.5`|`12`|`2020-07-17 11:41:41`|`2020-07-17 11:42:24`
`2502`|`마천2동`|`125`|`송파구`|`0`|`345.5`|`12`|`2020-07-17 11:43:41`|`2020-07-17 11:44:18`
`2502`|`마천2동`|`125`|`송파구`|`0`|`345.5`|`12`|`2020-07-17 11:40:41`|`2020-07-17 11:41:21`
`2502`|`마천2동`|`125`|`송파구`|`0`|`345.5`|`12`|`2020-07-17 11:45:41`|`2020-07-17 11:46:31`
`2502`|`마천2동`|`125`|`송파구`|`0`|`345.5`|`12`|`2020-07-17 11:39:41`|`2020-07-17 11:40:30`
`101`|`강남구청`|`101`|`강남구`|`0`|`449.5`|`16.5`|`2020-07-17 11:46:40`|`2020-07-17 11:46:58`
`2502`|`마천2동`|`125`|`송파구`|`0`|`345.5`|`12`|`2020-07-17 11:44:41`|`2020-07-17 11:45:33`
`101`|`강남구청`|`101`|`강남구`|`0`|`449.5`|`16.5`|`2020-07-17 11:47:40`|`2020-07-17 11:48:00`
`101`|`강남구청`|`101`|`강남구`|`0`|`449.5`|`16.5`|`2020-07-17 11:50:40`|`2020-07-17 11:51:08`
`101`|`강남구청`|`101`|`강남구`|`0`|`449.5`|`16.5`|`2020-07-17 11:48:40`|`2020-07-17 11:49:06`
`101`|`강남구청`|`101`|`강남구`|`0`|`449.5`|`16.5`|`2020-07-17 11:51:40`|`2020-07-17 11:52:06`
`101`|`강남구청`|`101`|`강남구`|`0`|`449.5`|`16.5`|`2020-07-17 11:49:40`|`2020-07-17 11:50:01`
`101`|`강남구청`|`101`|`강남구`|`0`|`449.5`|`16.5`|`2020-07-17 11:53:40`|`2020-07-17 11:54:17`
`101`|`강남구청`|`101`|`강남구`|`0`|`449.5`|`16.5`|`2020-07-17 11:55:40`|`2020-07-17 11:56:01`
`101`|`강남구청`|`101`|`강남구`|`0`|`449.5`|`16.5`|`2020-07-17 11:52:40`|`2020-07-17 11:53:00`
`101`|`강남구청`|`101`|`강남구`|`0`|`449.5`|`16.5`|`2020-07-17 11:54:40`|`2020-07-17 11:54:58`
`101`|`강남구청`|`101`|`강남구`|`0`|`449.5`|`16.5`|`2020-07-17 11:57:40`|`2020-07-17 11:58:18`
`101`|`강남구청`|`101`|`강남구`|`0`|`449.5`|`16.5`|`2020-07-17 11:58:40`|`2020-07-17 11:59:01`
`101`|`강남구청`|`101`|`강남구`|`0`|`449.5`|`16.5`|`2020-07-17 11:56:40`|`2020-07-17 11:57:21`
`101`|`강남구청`|`101`|`강남구`|`0`|`449.5`|`16.5`|`2020-07-17 11:59:40`|`2020-07-17 11:59:59`
`101`|`강남구청`|`101`|`강남구`|`0`|`449.5`|`16.5`|`2020-07-17 12:01:40`|`2020-07-17 12:02:22`
`101`|`강남구청`|`101`|`강남구`|`0`|`449.5`|`16.5`|`2020-07-17 12:00:40`|`2020-07-17 12:01:07`
`101`|`강남구청`|`101`|`강남구`|`0`|`449.5`|`16.5`|`2020-07-17 12:03:40`|`2020-07-17 12:04:12`
