YEAR,MONTH,gu_code,gu_name,total_geton,total_getoff,total_passenger
2023,3,11320.0,도봉구,1521526,1509829,3031355
2023,3,11230.0,동대문구,1517724,1395167,2912891
2023,3,11590.0,동작구,4841782,5172757,10014539
2023,3,11440.0,마포구,7179267,6935450,14114717
2023,3,11410.0,서대문구,2001832,1931667,3933499
2023,3,11650.0,서초구,6030788,6060047,12090835
2023,3,11200.0,성동구,4369477,4310875,8680352
2023,3,11290.0,성북구,3064080,3096361,6160441
2023,3,11710.0,송파구,7806109,7281428,15087537
2023,3,11470.0,양천구,1737325,1706694,3444019
2023,3,11560.0,영등포구,3415154,4269198,7684352
2023,3,11170.0,용산구,2306232,2268473,4574705
2023,3,11380.0,은평구,3581737,3364918,6946655
2023,3,11110.0,종로구,6003729,5698200,11701929
2023,3,11140.0,중구,8675984,8413444,17089428
2023,3,11260.0,중랑구,2137428,2045070,4182498
2023,4,11680.0,강남구,10859476,10748714,21608190
2023,4,11740.0,강동구,4009738,3783047,7792785
2023,4,11305.0,강북구,1850798,2143997,3994795
2023,4,11500.0,강서구,3089705,3909737,6999442
2023,4,11620.0,관악구,3760220,3441724,7201944
2023,4,11215.0,광진구,5322930,5104754,10427684
2023,4,11530.0,구로구,3737445,3516896,7254341
2023,4,11545.0,금천구,616542,594293,1210835
2023,4,11350.0,노원구,4234558,4036434,8270992
2023,4,11320.0,도봉구,1439895,1425981,2865876
2023,4,11230.0,동대문구,1425879,1310070,2735949
2023,4,11590.0,동작구,4562925,4882121,9445046
2023,4,11440.0,마포구,6838016,6613813,13451829
2023,4,11410.0,서대문구,1874954,1801836,3676790
2023,4,11650.0,서초구,5709314,5743091,11452405
2023,4,11200.0,성동구,4141521,4071468,8212989
2023,4,11290.0,성북구,2840944,2869468,5710412
2023,4,11710.0,송파구,7722672,7193261,14915933
2023,4,11470.0,양천구,1638900,1607461,3246361
2023,4,11560.0,영등포구,3292670,4128593,7421263
2023,4,11170.0,용산구,2200128,2166705,4366833
2023,4,11380.0,은평구,3400831,3192326,6593157
2023,4,11110.0,종로구,5721426,5436384,11157810
2023,4,11140.0,중구,8361488,8135804,16497292
2023,4,11260.0,중랑구,2017317,1928123,3945440
2023,5,11680.0,강남구,11029282,10911804,21941086
2023,5,11740.0,강동구,4102027,3868576,7970603
2023,5,11305.0,강북구,1904503,2209528,4114031
2023,5,11500.0,강서구,3167291,4005487,7172778
2023,5,11620.0,관악구,3814004,3493658,7307662
2023,5,11215.0,광진구,5516559,5291163,10807722
2023,5,11530.0,구로구,3785471,3557022,7342493
2023,5,11545.0,금천구,638500,614183,1252683
2023,5,11350.0,노원구,4489331,4295420,8784751
2023,5,11320.0,도봉구,1486309,1467538,2953847
2023,5,11230.0,동대문구,1447532,1333349,2780881
2023,5,11590.0,동작구,4664977,4997271,9662248
2023,5,11440.0,마포구,6995460,6727510,13722970
2023,5,11410.0,서대문구,1935593,1860869,3796462
2023,5,11650.0,서초구,5889071,5945396,11834467
2023,5,11200.0,성동구,4229539,4174052,8403591
2023,5,11290.0,성북구,2999421,3023976,6023397
2023,5,11710.0,송파구,7730752,7204446,14935198
2023,5,11470.0,양천구,1673188,1638588,3311776
2023,5,11560.0,영등포구,3254311,4071504,7325815
2023,5,11170.0,용산구,2278384,2239681,4518065
2023,5,11380.0,은평구,3472717,3263155,6735872
2023,5,11110.0,종로구,5970828,5654353,11625181
2023,5,11140.0,중구,8646115,8403454,17049569
2023,5,11260.0,중랑구,2110697,2006542,4117239
2023,6,11680.0,강남구,11073434,10925970,21999404
2023,6,11740.0,강동구,4029023,3795851,7824874
2023,6,11305.0,강북구,1832579,2110565,3943144
2023,6,11500.0,강서구,3115125,3942971,7058096
2023,6,11620.0,관악구,3727487,3407901,7135388
2023,6,11215.0,광진구,5222434,4997626,10220060
2023,6,11530.0,구로구,3743744,3514223,7257967
2023,6,11545.0,금천구,633145,607091,1240236
2023,6,11350.0,노원구,4196789,4000659,8197448
2023,6,11320.0,도봉구,1439391,1420971,2860362
2023,6,11230.0,동대문구,1415974,1302417,2718391
2023,6,11590.0,동작구,4525185,4817239,9342424
2023,6,11440.0,마포구,6804983,6591471,13396454
2023,6,11410.0,서대문구,1842059,1762134,3604193
2023,6,11650.0,서초구,5683700,5728773,11412473
2023,6,11200.0,성동구,4078197,4022776,8100973
2023,6,11290.0,성북구,2761110,2774299,5535409
2023,6,11710.0,송파구,7680968,7171305,14852273
2023,6,11470.0,양천구,1638662,1604212,3242874
2023,6,11560.0,영등포구,3225970,4046357,7272327
2023,6,11170.0,용산구,2244294,2222657,4466951
2023,6,11380.0,은평구,3391483,3173383,6564866
2023,6,11110.0,종로구,5628407,5366840,10995247
2023,6,11140.0,중구,8426935,8210866,16637801
2023,6,11260.0,중랑구,2000459,1910109,3910568
2023,7,11680.0,강남구,11317332,11135915,22453247
2023,7,11740.0,강동구,4012150,3794966,7807116
2023,7,11305.0,강북구,1810656,2084255,3894911
2023,7,11500.0,강서구,3095191,3910627,7005818
2023,7,11620.0,관악구,3690158,3372564,7062722
2023,7,11215.0,광진구,5047162,4837590,9884752
2023,7,11530.0,구로구,3704679,3476972,7181651
2023,7,11545.0,금천구,632385,603634,1236019
2023,7,11350.0,노원구,4096988,3917203,8014191
2023,7,11320.0,도봉구,1412763,1392634,2805397
2023,7,11230.0,동대문구,1389105,1276866,2665971
2023,7,11590.0,동작구,4382129,4662018,9044147
2023,7,11440.0,마포구,6826556,6650108,13476664
2023,7,11410.0,서대문구,1781195,1703639,3484834
2023,7,11650.0,서초구,5635434,5661818,11297252
2023,7,11200.0,성동구,3995301,3953482,7948783
2023,7,11290.0,성북구,2608767,2630598,5239365
2023,7,11710.0,송파구,7656285,7141882,14798167
2023,7,11470.0,양천구,1618331,1590264,3208595
2023,7,11560.0,영등포구,3163928,3988066,7151994
2023,7,11170.0,용산구,2202757,2189827,4392584
2023,7,11380.0,은평구,3362975,3166306,6529281
2023,7,11110.0,종로구,5568460,5278909,10847369
2023,7,11140.0,중구,8375805,8116196,16492001
2023,7,11260.0,중랑구,1944370,1857573,3801943
2023,8,11680.0,강남구,10986658,10793882,21780540
2023,8,11740.0,강동구,3937381,3727347,7664728
2023,8,11305.0,강북구,1763857,2040553,3804410
2023,8,11500.0,강서구,3037427,3838536,6875963
2023,8,11620.0,관악구,3569322,3250621,6819943
2023,8,11215.0,광진구,4936828,4732610,9669438
2023,8,11530.0,구로구,3615078,3391331,7006409
2023,8,11545.0,금천구,623241,593284,1216525
2023,8,11350.0,노원구,4002930,3825537,7828467
2023,8,11320.0,도봉구,1381271,1367910,2749181
2023,8,11230.0,동대문구,1381908,1272011,2653919
2023,8,11590.0,동작구,4292663,4569963,8862626
2023,8,11440.0,마포구,6583778,6405450,12989228
2023,8,11410.0,서대문구,1744651,1667787,3412438
2023,8,11650.0,서초구,5467086,5480806,10947892
2023,8,11200.0,성동구,3885563,3844862,7730425
2023,8,11290.0,성북구,2540467,2559181,5099648
2023,8,11710.0,송파구,7420031,6914372,14334403
2023,8,11470.0,양천구,1575489,1553539,3129028
2023,8,11560.0,영등포구,3126130,3936846,7062976
2023,8,11170.0,용산구,2133953,2116711,4250664
2023,8,11380.0,은평구,3301597,3103914,6405511
2023,8,11110.0,종로구,5431893,5153231,10585124
2023,8,11140.0,중구,8197015,7954176,16151191
2023,8,11260.0,중랑구,1909564,1829436,3739000
2023,9,11680.0,강남구,10449437,10280905,20730342
2023,9,11740.0,강동구,3882745,3659211,7541956
2023,9,11305.0,강북구,1791097,2062302,3853399
2023,9,11500.0,강서구,2985038,3764369,6749407
2023,9,11620.0,관악구,3524253,3187719,6711972
2023,9,11215.0,광진구,5090422,4880361,9970783
2023,9,11530.0,구로구,3577164,3356276,6933440
2023,9,11545.0,금천구,593653,565018,1158671
2023,9,11350.0,노원구,4101473,3901727,8003200
2023,9,11320.0,도봉구,1403394,1388980,2792374
2023,9,11230.0,동대문구,1422930,1308338,2731268
2023,9,11590.0,동작구,4401014,4694302,9095316
2023,9,11440.0,마포구,6628622,6439935,13068557
2023,9,11410.0,서대문구,1819082,1747403,3566485
2023,9,11650.0,서초구,5489781,5581838,11071619
2023,9,11200.0,성동구,3970263,3920306,7890569
2023,9,11290.0,성북구,2786119,2783793,5569912
2023,9,11710.0,송파구,7310214,6811484,14121698
2023,9,11470.0,양천구,1566218,1536557,3102775
2023,9,11560.0,영등포구,3120233,3922610,7042843
2023,9,11170.0,용산구,2208088,2197709,4405797
2023,9,11380.0,은평구,3277652,3073874,6351526
2023,9,11110.0,종로구,5627059,5340539,10967598
2023,9,11140.0,중구,8269935,8065325,16335260
2023,9,11260.0,중랑구,1936289,1851501,3787790
2023,10,11680.0,강남구,10746678,10592595,21339273
2023,10,11740.0,강동구,4056179,3828978,7885157
2023,10,11305.0,강북구,1865874,2155628,4021502
2023,10,11500.0,강서구,3123758,3942517,7066275
2023,10,11620.0,관악구,3655651,3354427,7010078
2023,10,11215.0,광진구,5384191,5144711,10528902
2023,10,11530.0,구로구,3714709,3488831,7203540
2023,10,11545.0,금천구,607072,582271,1189343
2023,10,11350.0,노원구,4271647,4074503,8346150
2023,10,11320.0,도봉구,1464309,1449611,2913920
2023,10,11230.0,동대문구,1467954,1346672,2814626
2023,10,11590.0,동작구,4559354,4897364,9456718
2023,10,11440.0,마포구,7056100,6847570,13903670
2023,10,11410.0,서대문구,1877730,1816780,3694510
2023,10,11650.0,서초구,5731501,5703859,11435360
2023,10,11200.0,성동구,4179789,4124692,8304481
2023,10,11290.0,성북구,2853052,2872314,5725366
2023,10,11710.0,송파구,7702674,7168308,14870982
2023,10,11470.0,양천구,1626164,1593025,3219189
2023,10,11560.0,영등포구,3257923,4104416,7362339
2023,10,11170.0,용산구,2310071,2291839,4601910
2023,10,11380.0,은평구,3441277,3235736,6677013
2023,10,11110.0,종로구,6035168,5740974,11776142
2023,10,11140.0,중구,8711621,8480839,17192460
2023,10,11260.0,중랑구,2015682,1930614,3946296
2023,11,11680.0,강남구,11415529,11250788,22666317
2023,11,11740.0,강동구,4149313,3922200,8071513
2023,11,11305.0,강북구,1878367,2176061,4054428
2023,11,11500.0,강서구,3195945,4047917,7243862
2023,11,11620.0,관악구,3730294,3404339,7134633
2023,11,11215.0,광진구,5327628,5096448,10424076
2023,11,11530.0,구로구,3813527,3576416,7389943
2023,11,11545.0,금천구,662630,631552,1294182
2023,11,11350.0,노원구,4372927,4165022,8537949
2023,11,11320.0,도봉구,1480418,1463149,2943567
2023,11,11230.0,동대문구,1485652,1364192,2849844
2023,11,11590.0,동작구,4636895,4965024,9601919
2023,11,11440.0,마포구,7076249,6869391,13945640
2023,11,11410.0,서대문구,1971303,1900637,3871940
