연도,자치구코드,모형,연평균_스트레스점수,연합계_총이동인구수,연평균_평균이동시간,월개수
2022,31220,CRITIC기반,12.201093377459706,244527.2,123.98799796969402,1
2022,31220,PCA기반,6.007411739609591,244527.2,123.98799796969402,1
2022,31220,문헌기반,7.12994556234808,244527.2,123.98799796969402,1
2022,31230,CRITIC기반,7.620256983774838,2315495.15,79.15393841990041,1
2022,31230,PCA기반,7.5810428202913105,2315495.15,79.15393841990041,1
2022,31230,문헌기반,7.246870488137338,2315495.15,79.15393841990041,1
2022,31240,CRITIC기반,10.258240829401114,1311499.41,102.22514805162722,1
2022,31240,PCA기반,7.336421330724604,1311499.41,102.22514805162722,1
2022,31240,문헌기반,7.536472448135762,1311499.41,102.22514805162722,1
2022,31250,CRITIC기반,8.417117753689107,1375478.19,90.81353022873711,1
2022,31250,PCA기반,6.4595801263242905,1375478.19,90.81353022873711,1
2022,31250,문헌기반,6.544115402140588,1375478.19,90.81353022873711,1
2022,31260,CRITIC기반,7.276875643324548,1073017.75,86.22233306965981,1
2022,31260,PCA기반,5.30443681450674,1073017.75,86.22233306965981,1
2022,31260,문헌기반,5.485481426494554,1073017.75,86.22233306965981,1
2022,31270,CRITIC기반,8.532736238935994,634278.42,97.42647998461639,1
2022,31270,PCA기반,5.15536386059733,634278.42,97.42647998461639,1
2022,31270,문헌기반,5.6446969237833295,634278.42,97.42647998461639,1
2022,31280,CRITIC기반,12.18887722454782,262215.42,123.85422417526965,1
2022,31280,PCA기반,6.057603990863292,262215.42,123.85422417526965,1
2022,31280,문헌기반,7.15723002908581,262215.42,123.85422417526965,1
