gu,total_pop,avg_time,total_time,pop_norm,avg_norm,total_norm,stress_score,model,w_pop,w_avg,w_total
37370,6.18,258.5,1597.53,5.004944068330194e-06,0.6925098277009083,2.737136326584755e-05,19.41956834339482,pca,0.3584613236941443,0.2804061356209105,0.36113254068494527
24030,262.36,256.2162162162162,67220.88648648649,0.00045967394102748945,0.6852702290496757,0.0026167134744622535,19.32637324985213,pca,0.3584613236941443,0.2804061356209105,0.36113254068494527
37011,183.88,255.864406779661,47048.347118644066,0.0003203874124875768,0.684154992510884,0.0018207528825093268,19.26136372261252,pca,0.3584613236941443,0.2804061356209105,0.36113254068494527
36430,9.620000000000001,256.6666666666667,2469.1333333333337,1.111026591054859e-05,0.6866981577777296,6.176276498764011e-05,19.258066390531603,pca,0.3584613236941443,0.2804061356209105,0.36113254068494527
37100,226.5,255.21052631578948,57805.18421052632,0.00039602951042808494,0.6820821902789369,0.0022451921790732853,19.221280437044793,pca,0.3584613236941443,0.2804061356209105,0.36113254068494527
32050,123.47,255.40740740740742,31535.152592592593,0.00021317157164792185,0.6827063036890816,0.001208638994769396,19.194792901618996,pca,0.3584613236941443,0.2804061356209105,0.36113254068494527
21110,161.14,254.69230769230768,41041.118461538455,0.0002800283954259354,0.6804394363219987,0.0015837218776013028,19.14717057178151,pca,0.3584613236941443,0.2804061356209105,0.36113254068494527
22310,167.06,254.4418604651163,42507.05720930233,0.00029053522836370666,0.6796455181669376,0.0016415643461254658,19.12737412868154,pca,0.3584613236941443,0.2804061356209105,0.36113254068494527
35380,49.41,254.26666666666668,12563.315999999999,8.17296717541154e-05,0.6790901535146593,0.00046005528850845634,19.061648354677313,pca,0.3584613236941443,0.2804061356209105,0.36113254068494527
21070,232.49,253.25,58878.0925,0.00040666057956613384,0.675867318375442,0.0022875265972458455,19.048921531971853,pca,0.3584613236941443,0.2804061356209105,0.36113254068494527
35370,47.62,251.91666666666666,11996.271666666666,7.85527746327285e-05,0.6716406493404029,0.00043768106308282384,18.851837801335687,pca,0.3584613236941443,0.2804061356209105,0.36113254068494527
38330,13.08,251.5,3289.62,1.7251083809989183e-05,0.6703198152669532,9.413722419581335e-05,18.80019688904135,pca,0.3584613236941443,0.2804061356209105,0.36113254068494527
26030,65.72,250.71428571428572,16476.942857142858,0.00011067670641881947,0.6678290995855909,0.0006144777284943786,18.752495829195823,pca,0.3584613236941443,0.2804061356209105,0.36113254068494527
37020,195.07999999999998,249.44444444444446,48661.62222222222,0.00034026520453200876,0.6638037005046014,0.0018844088944278863,18.693712375671314,pca,0.3584613236941443,0.2804061356209105,0.36113254068494527
21080,222.73,249.23214285714286,55511.475178571425,0.0003893385036417002,0.6631307040957484,0.0021546878570565444,18.68636088426446,pca,0.3584613236941443,0.2804061356209105,0.36113254068494527
38114,81.5,249.84,20361.96,0.00013868309556713525,0.6650576123183296,0.0007677712969632738,18.681321476060077,pca,0.3584613236941443,0.2804061356209105,0.36113254068494527
32400,49.16,249.21428571428572,12251.374285714286,8.12859710388379e-05,0.663074096921172,0.00044774680780456055,18.612087896705333,pca,0.3584613236941443,0.2804061356209105,0.36113254068494527
21090,407.03,247.24107142857142,100634.53330357141,0.0007164346709442729,0.6568190041304779,0.003935136783241625,18.585399881556405,pca,0.3584613236941443,0.2804061356209105,0.36113254068494527
36440,44.190000000000005,247.25,10925.9775,7.246520081912122e-05,0.6568473077177662,0.0003954497920004227,18.435280101004373,pca,0.3584613236941443,0.2804061356209105,0.36113254068494527
