자치구코드,총이동인구수,평균이동시간,총이동시간,유입인구_norm,평균이동시간_norm,총이동시간_norm,출퇴근스트레스점수,모형,가중치_유입인구,가중치_평균이동시간,가중치_총이동시간
24020,7.26,1136.0,8247.36,0.13139418254764296,0.552437223042836,0.16171413038501845,16.157875679110862,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
11120,8.51,925.0,7871.75,0.16273821464393182,0.24076809453471196,0.1521957358254622,16.05683118591078,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
35020,7.449999999999999,1067.3333333333333,7951.633333333332,0.13615847542627885,0.451009354997538,0.15422007246559213,15.651490736775411,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
11070,6.859999999999999,1163.0,7978.179999999999,0.1213640922768305,0.5923190546528804,0.15489279589567748,15.494167188980827,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
31350,5.91,1286.0,7600.26,0.09754262788365096,0.7740029542097489,0.14531586324759177,14.558664313646602,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
25010,6.03,1203.0,7254.09,0.1005516549648947,0.6514032496307238,0.13654351255223868,13.827637963925818,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
34012,5.82,1232.0,7170.240000000001,0.09528585757271817,0.6942392909896603,0.13441865596210853,13.630386254654939,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
11160,5.99,1013.5,6070.865,0.09954864593781346,0.37149187592319055,0.1065592139373698,11.30045416753125,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
33370,6.05,979.0,5922.95,0.1010531594784353,0.3205317577548006,0.10281087568419028,11.003938705697431,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
32320,4.57,1261.0,5762.77,0.0639418254764293,0.7370753323485968,0.09875172805619926,10.563495042627682,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
23010,5.63,1000.0,5630.0,0.09052156469408225,0.3515509601181684,0.09538718172976418,10.25421812968621,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
36030,6.220000000000001,858.0,5336.76,0.10531594784353063,0.14180206794682423,0.08795613883781705,9.832993794257556,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
36060,3.51,1423.0,4994.73,0.03736208625877633,0.9763663220088626,0.07928870056086751,9.23368304284889,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
21030,6.05,821.0,4967.05,0.1010531594784353,0.08714918759231906,0.07858725714506785,8.974494063654683,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
32010,5.38,936.0,5035.68,0.08425275827482448,0.2570162481536189,0.08032642122116365,8.877545789516338,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
33030,3.17,1439.0,4561.63,0.028836509528585758,1.0,0.06831344249067825,8.382743515642106,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
34370,3.31,1306.0,4322.86,0.03234704112337011,0.8035450516986706,0.06226273279449007,7.532685405324919,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
34310,3.81,1164.0,4434.84,0.044884653961885665,0.5937961595273265,0.06510043632415943,7.495871266281898,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
36320,4.05,1088.0,4406.4,0.05090270812437312,0.4815361890694239,0.06437973362382189,7.335185140261313,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
36040,3.18,1212.0,3854.1600000000003,0.029087261785356075,0.6646971935007385,0.05038532929068562,6.289742871383114,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
11140,2.7,1260.0,3402.0,0.01705115346038115,0.7355982274741507,0.03892706863721809,5.421557146572775,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
25030,2.24,1409.0,3156.1600000000003,0.005516549648946846,0.9556868537666174,0.03269719691250018,5.382167272162057,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
31220,3.28,1040.0,3411.2,0.03159478435305917,0.41063515509601184,0.03916020734478157,4.929013127228105,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
34380,2.73,1185.0,3235.05,0.01780341023069208,0.6248153618906942,0.03469636132985698,4.843651758985409,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
32340,2.2,1341.0,2950.2000000000003,0.0045135406218656015,0.8552437223042836,0.02747793080274219,4.710435200921075,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
32020,2.73,1152.0,3144.96,0.01780341023069208,0.5760709010339734,0.032413375877205504,4.553155305987162,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
24040,3.52,931.0,3277.12,0.03761283851554664,0.24963072378138848,0.03576246409368256,4.45890046754757,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
36350,2.3,1253.0,2881.8999999999996,0.007021063189568702,0.725258493353028,0.02574712931072202,4.266083315827932,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
36380,3.15,988.0,3112.2,0.028335005015045135,0.33382570162481534,0.0315831993489686,4.1227973156104225,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
24030,2.2,1259.0,2769.8,0.0045135406218656015,0.7341211225997046,0.022906384841388815,4.041502366204795,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
38112,2.72,1053.0,2864.1600000000003,0.017552657973921772,0.4298375184638109,0.02529757706374638,3.656747958594782,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
11010,2.02,1267.0,2559.34,0.0,0.7459379615952733,0.01757308349423565,3.6113472791939576,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
11050,2.27,1142.0,2592.34,0.006268806419257774,0.5612998522895125,0.01840934190180029,3.2690595438430803,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
35370,2.21,1153.0,2548.13,0.004764292878635907,0.5775480059084195,0.017289009047302326,3.20291966850049,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
23040,3.45,810.0,2794.5,0.03585757271815447,0.07090103397341212,0.023532311588869013,3.1236600685810183,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
11130,2.07,1181.0,2444.6699999999996,0.0012537612838515503,0.6189069423929099,0.014667212233767836,3.0610095399445423,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
